seed_item_id,seed_category,seed_gender,seed_size,recommended_item_id,recommended_category,recommended_gender,recommended_size,recommended_brand,recommended_provider_price,recommendation_pool_status,similarity_score,budget_alignment_score,final_score,explanation_reasons
L0080,Ethnic Wear,Unisex,S,L0323,Ethnic Wear,Unisex,S,Rohit Bal,2000.0,REVIEW_FALLBACK,0.8387,0.912761,0.784228,same_category|exact_gender_match|exact_size_match|same_material|same_tier
L0095,Ethnic Wear,Unisex,M,L0416,Ethnic Wear,Unisex,M,Anita Dongre,1599.0,REVIEW_FALLBACK,0.651228,0.729752,0.647928,same_category|exact_gender_match|exact_size_match|same_material|near_category_budget
L0095,Ethnic Wear,Unisex,M,L0080,Ethnic Wear,Unisex,S,Anita Dongre,2350.0,REVIEW_FALLBACK,0.727664,0.927506,0.727021,same_category|exact_gender_match|nearest_size_match|same_material|same_condition
L0096,Ethnic Wear,Unisex,S,L1458,Ethnic Wear,Unisex,S,Meena Bazaar,1571.0,PRIMARY_APPROVE,0.884455,0.716973,0.894814,same_category|exact_gender_match|exact_size_match|same_material|same_tier
L0096,Ethnic Wear,Unisex,S,L0049,Ethnic Wear,Unisex,S,Label Ritu Kumar,2175.0,PRIMARY_APPROVE,0.86894,0.992627,0.883846,same_category|exact_gender_match|exact_size_match|same_material|same_tier
L0096,Ethnic Wear,Unisex,S,L0257,Ethnic Wear,Unisex,L,Rohit Bal,2500.0,PRIMARY_APPROVE,0.553269,0.859049,0.653592,same_category|exact_gender_match|extended_size_match|same_material|near_category_budget
L0096,Ethnic Wear,Unisex,S,L0900,Ethnic Wear,Unisex,L,Rohit Bal,2338.0,PRIMARY_APPROVE,0.530269,0.932983,0.643891,same_category|exact_gender_match|extended_size_match|same_material|near_category_budget
L0096,Ethnic Wear,Unisex,S,L0420,Ethnic Wear,Unisex,S,FBB,57.0,PRIMARY_APPROVE,0.547203,0.026014,0.64023,same_category|exact_gender_match|exact_size_match|same_condition|high_quality_item
L0098,Ethnic Wear,Unisex,L,L0257,Ethnic Wear,Unisex,L,Rohit Bal,2500.0,PRIMARY_APPROVE,0.834672,0.859049,0.839863,same_category|exact_gender_match|exact_size_match|same_material|same_tier
L0098,Ethnic Wear,Unisex,L,L0900,Ethnic Wear,Unisex,L,Rohit Bal,2338.0,PRIMARY_APPROVE,0.783624,0.932983,0.814736,same_category|exact_gender_match|exact_size_match|same_material|same_tier
L0098,Ethnic Wear,Unisex,L,L1458,Ethnic Wear,Unisex,S,Meena Bazaar,1571.0,PRIMARY_APPROVE,0.518393,0.716973,0.66198,same_category|exact_gender_match|extended_size_match|same_material|near_category_budget
L0098,Ethnic Wear,Unisex,L,L0049,Ethnic Wear,Unisex,S,Label Ritu Kumar,2175.0,PRIMARY_APPROVE,0.483695,0.992627,0.640461,same_category|exact_gender_match|extended_size_match|same_material|near_category_budget
L0098,Ethnic Wear,Unisex,L,L0096,Ethnic Wear,Unisex,S,Meena Bazaar,1720.0,PRIMARY_APPROVE,0.515231,0.784974,0.638597,same_category|exact_gender_match|extended_size_match|same_material|near_category_budget
L0100,Ethnic Wear,Unisex,L,L0257,Ethnic Wear,Unisex,L,Rohit Bal,2500.0,PRIMARY_APPROVE,0.476213,0.859049,0.642711,same_category|exact_gender_match|exact_size_match|same_tier|near_category_budget
L0100,Ethnic Wear,Unisex,L,L0900,Ethnic Wear,Unisex,L,Rohit Bal,2338.0,PRIMARY_APPROVE,0.408451,0.932983,0.608391,same_category|exact_gender_match|exact_size_match|same_tier|near_category_budget
L0100,Ethnic Wear,Unisex,L,L1458,Ethnic Wear,Unisex,S,Meena Bazaar,1571.0,PRIMARY_APPROVE,0.467471,0.716973,0.633973,same_category|exact_gender_match|extended_size_match|same_condition|near_category_budget
L0100,Ethnic Wear,Unisex,L,L0049,Ethnic Wear,Unisex,S,Label Ritu Kumar,2175.0,PRIMARY_APPROVE,0.390914,0.992627,0.589432,same_category|exact_gender_match|extended_size_match|same_condition|near_category_budget
L0100,Ethnic Wear,Unisex,L,L0096,Ethnic Wear,Unisex,S,Meena Bazaar,1720.0,PRIMARY_APPROVE,0.386064,0.784974,0.567555,same_category|exact_gender_match|extended_size_match|same_condition|near_category_budget
L0003,Activewear,Unisex,L,L0185,Activewear,Unisex,L,Reebok,300.0,PRIMARY_APPROVE,0.372322,0.706093,0.594053,same_category|exact_gender_match|exact_size_match|same_material|same_tier
L0003,Activewear,Unisex,L,L1020,Activewear,Unisex,S,HRX,47.0,PRIMARY_APPROVE,0.41465,0.110621,0.518731,same_category|exact_gender_match|extended_size_match|same_material|same_condition
L0003,Activewear,Unisex,L,L0603,Activewear,Unisex,L,HRX,405.0,REVIEW_FALLBACK,0.634582,0.953225,0.684787,same_category|exact_gender_match|exact_size_match|same_material|same_tier
L0003,Activewear,Unisex,L,L1195,Activewear,Unisex,L,Under Armour,412.0,REVIEW_FALLBACK,0.434645,0.969701,0.572025,same_category|exact_gender_match|exact_size_match|same_material|near_category_budget
L0073,Activewear,Unisex,M,L0788,Activewear,Unisex,M,Under Armour,539.0,PRIMARY_APPROVE,0.874514,0.731387,0.887677,same_category|exact_gender_match|exact_size_match|same_material|same_tier
L0073,Activewear,Unisex,M,L1061,Activewear,Unisex,M,Nike,278.0,PRIMARY_APPROVE,0.75183,0.654313,0.820049,same_category|exact_gender_match|exact_size_match|same_material|same_condition
L0073,Activewear,Unisex,M,L1034,Activewear,Unisex,M,Under Armour,603.0,PRIMARY_APPROVE,0.809905,0.580754,0.808856,same_category|exact_gender_match|exact_size_match|same_material|same_tier
L0073,Activewear,Unisex,M,L0779,Activewear,Unisex,M,Under Armour,395.0,PRIMARY_APPROVE,0.507766,0.929689,0.652129,same_category|exact_gender_match|exact_size_match|same_material|same_tier
L0073,Activewear,Unisex,M,L0363,Activewear,Unisex,L,HRX,550.0,PRIMARY_APPROVE,0.815126,0.705497,0.84598,same_category|exact_gender_match|nearest_size_match|same_material|same_tier
L0116,Activewear,Unisex,M,L0788,Activewear,Unisex,M,Under Armour,539.0,PRIMARY_APPROVE,0.895392,0.731387,0.89916,same_category|exact_gender_match|exact_size_match|same_material|same_tier
L0116,Activewear,Unisex,M,L1061,Activewear,Unisex,M,Nike,278.0,PRIMARY_APPROVE,0.827163,0.654313,0.861482,same_category|exact_gender_match|exact_size_match|same_material|same_condition
L0116,Activewear,Unisex,M,L1034,Activewear,Unisex,M,Under Armour,603.0,PRIMARY_APPROVE,0.824774,0.580754,0.817035,same_category|exact_gender_match|exact_size_match|same_material|same_tier
L0116,Activewear,Unisex,M,L0363,Activewear,Unisex,L,HRX,550.0,PRIMARY_APPROVE,0.876255,0.705497,0.879601,same_category|exact_gender_match|nearest_size_match|same_material|same_tier
L0116,Activewear,Unisex,M,L1132,Activewear,Unisex,L,Nike,323.0,PRIMARY_APPROVE,0.784368,0.760226,0.838981,same_category|exact_gender_match|nearest_size_match|same_material|same_condition
L0178,Activewear,Unisex,S,L0850,Activewear,Unisex,S,Adidas,335.0,REVIEW_FALLBACK,0.969277,0.78847,0.856838,same_category|exact_gender_match|exact_size_match|same_material|same_tier
L0178,Activewear,Unisex,S,L1318,Activewear,Unisex,M,Nike,508.0,REVIEW_FALLBACK,0.722263,0.80435,0.727902,same_category|exact_gender_match|nearest_size_match|same_material|same_condition
L0185,Activewear,Unisex,L,L1132,Activewear,Unisex,L,Nike,323.0,PRIMARY_APPROVE,0.863114,0.760226,0.896291,same_category|exact_gender_match|exact_size_match|same_material|same_tier
L0185,Activewear,Unisex,L,L0363,Activewear,Unisex,L,HRX,550.0,PRIMARY_APPROVE,0.824515,0.705497,0.865144,same_category|exact_gender_match|exact_size_match|same_material|same_condition
L0185,Activewear,Unisex,L,L1272,Activewear,Unisex,L,Nike,346.0,PRIMARY_APPROVE,0.817232,0.81436,0.864469,same_category|exact_gender_match|exact_size_match|same_material|same_tier
L0185,Activewear,Unisex,L,L0991,Activewear,Unisex,L,HRX,295.0,PRIMARY_APPROVE,0.775773,0.694324,0.81033,same_category|exact_gender_match|exact_size_match|same_material|same_tier
L0185,Activewear,Unisex,L,L1258,Activewear,Unisex,L,HRX,297.0,PRIMARY_APPROVE,0.774145,0.699032,0.809905,same_category|exact_gender_match|exact_size_match|same_material|same_tier
L0191,Activewear,Unisex,M,L1061,Activewear,Unisex,M,Nike,278.0,PRIMARY_APPROVE,0.621685,0.654313,0.748469,same_category|exact_gender_match|exact_size_match|same_material|same_tier
L0191,Activewear,Unisex,M,L0788,Activewear,Unisex,M,Under Armour,539.0,PRIMARY_APPROVE,0.532185,0.731387,0.699396,same_category|exact_gender_match|exact_size_match|same_material|near_category_budget
L0191,Activewear,Unisex,M,L1034,Activewear,Unisex,M,Under Armour,603.0,PRIMARY_APPROVE,0.352477,0.580754,0.557271,same_category|exact_gender_match|exact_size_match|same_material|near_category_budget
L0191,Activewear,Unisex,M,L0224,Activewear,Unisex,S,HRX,450.0,PRIMARY_APPROVE,0.628755,0.940861,0.749013,same_category|exact_gender_match|nearest_size_match|same_material|same_tier
L0191,Activewear,Unisex,M,L1132,Activewear,Unisex,L,Nike,323.0,PRIMARY_APPROVE,0.587593,0.760226,0.730754,same_category|exact_gender_match|nearest_size_match|same_material|same_tier
L0214,Activewear,Unisex,S,L0224,Activewear,Unisex,S,HRX,450.0,PRIMARY_APPROVE,0.602872,0.940861,0.748777,same_category|exact_gender_match|exact_size_match|same_material|same_condition
L0214,Activewear,Unisex,S,L1472,Activewear,Unisex,S,HRX,420.0,PRIMARY_APPROVE,0.435139,0.98853,0.652402,same_category|exact_gender_match|exact_size_match|same_material|near_category_budget
L0214,Activewear,Unisex,S,L0924,Activewear,Unisex,S,HRX,413.0,PRIMARY_APPROVE,0.375755,0.972054,0.613649,same_category|exact_gender_match|exact_size_match|same_material|near_category_budget
L0214,Activewear,Unisex,S,L0788,Activewear,Unisex,M,Under Armour,539.0,PRIMARY_APPROVE,0.463161,0.731387,0.647433,same_category|exact_gender_match|nearest_size_match|same_material|near_category_budget
L0214,Activewear,Unisex,S,L1061,Activewear,Unisex,M,Nike,278.0,PRIMARY_APPROVE,0.453283,0.654313,0.641848,same_category|exact_gender_match|nearest_size_match|same_material|same_condition
L0224,Activewear,Unisex,S,L1472,Activewear,Unisex,S,HRX,420.0,PRIMARY_APPROVE,0.816913,0.98853,0.862377,same_category|exact_gender_match|exact_size_match|same_material|same_brand
L0224,Activewear,Unisex,S,L0924,Activewear,Unisex,S,HRX,413.0,PRIMARY_APPROVE,0.777376,0.972054,0.83454,same_category|exact_gender_match|exact_size_match|same_material|same_brand
L0224,Activewear,Unisex,S,L0338,Activewear,Unisex,S,HRX,350.0,PRIMARY_APPROVE,0.71523,0.823775,0.781087,same_category|exact_gender_match|exact_size_match|same_material|same_brand
L0224,Activewear,Unisex,S,L1061,Activewear,Unisex,M,Nike,278.0,PRIMARY_APPROVE,0.82273,0.654313,0.845044,same_category|exact_gender_match|nearest_size_match|same_material|same_tier
L0224,Activewear,Unisex,S,L0788,Activewear,Unisex,M,Under Armour,539.0,PRIMARY_APPROVE,0.741869,0.731387,0.800722,same_category|exact_gender_match|nearest_size_match|same_material|near_category_budget
L0004,Jacket,Unisex,S,L1462,Jacket,Unisex,S,Gucci,4726.0,PRIMARY_APPROVE,0.768268,0.617295,0.776054,same_category|exact_gender_match|exact_size_match|same_material|same_tier
L0004,Jacket,Unisex,S,L0663,Jacket,Unisex,S,Gucci,4685.0,PRIMARY_APPROVE,0.74589,0.629291,0.767946,same_category|exact_gender_match|exact_size_match|same_material|same_tier
L0004,Jacket,Unisex,S,L1115,Jacket,Unisex,S,Armani,4273.0,PRIMARY_APPROVE,0.601241,0.749831,0.691665,same_category|exact_gender_match|exact_size_match|same_material|same_tier
L0004,Jacket,Unisex,S,L0722,Jacket,Unisex,S,Burberry,2611.0,PRIMARY_APPROVE,0.436395,0.763911,0.602408,same_category|exact_gender_match|exact_size_match|same_tier|near_category_budget
L0004,Jacket,Unisex,S,L0800,Jacket,Unisex,XS,Balenciaga,3621.0,PRIMARY_APPROVE,0.767231,0.94059,0.816258,same_category|exact_gender_match|nearest_size_match|same_material|same_tier
L0061,Jacket,Unisex,M,L0299,Jacket,Unisex,M,Gucci,4000.0,PRIMARY_APPROVE,0.708814,0.829704,0.778152,same_category|exact_gender_match|exact_size_match|same_material|same_tier
L0061,Jacket,Unisex,M,L0260,Jacket,Unisex,M,Louis Vuitton,4000.0,PRIMARY_APPROVE,0.664703,0.829704,0.762779,same_category|exact_gender_match|exact_size_match|same_material|same_tier
L0061,Jacket,Unisex,M,L1305,Jacket,Unisex,M,Louis Vuitton,3223.0,PRIMARY_APPROVE,0.641832,0.942966,0.737748,same_category|exact_gender_match|exact_size_match|same_material|same_tier
L0061,Jacket,Unisex,M,L1462,Jacket,Unisex,S,Gucci,4726.0,PRIMARY_APPROVE,0.805966,0.617295,0.782789,same_category|exact_gender_match|nearest_size_match|same_material|same_tier
L0061,Jacket,Unisex,M,L1270,Jacket,Unisex,L,Gucci,4057.0,PRIMARY_APPROVE,0.721216,0.813027,0.769305,same_category|exact_gender_match|nearest_size_match|same_material|same_tier
L0108,Jacket,Unisex,S,L1115,Jacket,Unisex,S,Armani,4273.0,PRIMARY_APPROVE,0.496639,0.749831,0.634135,same_category|exact_gender_match|exact_size_match|same_material|same_tier
L0108,Jacket,Unisex,S,L1320,Jacket,Unisex,L,Balenciaga,2425.0,PRIMARY_APPROVE,0.663231,0.709492,0.675226,same_category|exact_gender_match|extended_size_match|same_material|same_tier
L0108,Jacket,Unisex,S,L0898,Jacket,Unisex,L,Louis Vuitton,2548.0,PRIMARY_APPROVE,0.493466,0.745479,0.594343,same_category|exact_gender_match|extended_size_match|same_material|same_tier
L0108,Jacket,Unisex,S,L0405,Jacket,Unisex,XS,Burberry,1685.0,PRIMARY_APPROVE,0.443705,0.492987,0.554781,same_category|exact_gender_match|nearest_size_match|same_tier|same_condition
L0108,Jacket,Unisex,S,L0920,Jacket,Unisex,M,Gucci,9849.0,PRIMARY_APPROVE,0.457813,0.0,0.517686,same_category|exact_gender_match|nearest_size_match|same_material|same_tier
L0124,Jacket,Unisex,S,L1462,Jacket,Unisex,S,Gucci,4726.0,PRIMARY_APPROVE,0.780056,0.617295,0.782538,same_category|exact_gender_match|exact_size_match|same_material|same_tier
L0124,Jacket,Unisex,S,L0663,Jacket,Unisex,S,Gucci,4685.0,PRIMARY_APPROVE,0.752793,0.629291,0.771743,same_category|exact_gender_match|exact_size_match|same_material|same_tier
L0124,Jacket,Unisex,S,L1115,Jacket,Unisex,S,Armani,4273.0,PRIMARY_APPROVE,0.598918,0.749831,0.690388,same_category|exact_gender_match|exact_size_match|same_material|same_tier
L0124,Jacket,Unisex,S,L0722,Jacket,Unisex,S,Burberry,2611.0,PRIMARY_APPROVE,0.426043,0.763911,0.596715,same_category|exact_gender_match|exact_size_match|same_tier|near_category_budget
L0124,Jacket,Unisex,S,L0260,Jacket,Unisex,M,Louis Vuitton,4000.0,PRIMARY_APPROVE,0.775545,0.829704,0.809743,same_category|exact_gender_match|nearest_size_match|same_material|same_tier
L0160,Jacket,Unisex,M,L1286,Jacket,Unisex,M,Uniqlo,79.0,PRIMARY_APPROVE,0.537382,0.023113,0.568871,same_category|exact_gender_match|exact_size_match|same_condition
L0160,Jacket,Unisex,M,L0264,Jacket,Unisex,M,Burberry,2000.0,REVIEW_FALLBACK,0.812465,0.585148,0.733982,same_category|exact_gender_match|exact_size_match|same_condition|near_category_budget
L0160,Jacket,Unisex,M,L0627,Jacket,Unisex,M,Burberry,2005.0,REVIEW_FALLBACK,0.684907,0.586611,0.682026,same_category|exact_gender_match|exact_size_match|near_category_budget|high_quality_item
L0183,Jacket,Unisex,M,L0299,Jacket,Unisex,M,Gucci,4000.0,PRIMARY_APPROVE,0.64444,0.829704,0.742746,same_category|exact_gender_match|exact_size_match|same_material|same_tier
L0183,Jacket,Unisex,M,L0260,Jacket,Unisex,M,Louis Vuitton,4000.0,PRIMARY_APPROVE,0.604336,0.829704,0.729577,same_category|exact_gender_match|exact_size_match|same_material|same_tier
L0183,Jacket,Unisex,M,L1305,Jacket,Unisex,M,Louis Vuitton,3223.0,PRIMARY_APPROVE,0.568482,0.942966,0.697406,same_category|exact_gender_match|exact_size_match|same_material|same_tier
L0183,Jacket,Unisex,M,L1462,Jacket,Unisex,S,Gucci,4726.0,PRIMARY_APPROVE,0.767735,0.617295,0.761761,same_category|exact_gender_match|nearest_size_match|same_material|same_tier
L0183,Jacket,Unisex,M,L0663,Jacket,Unisex,S,Gucci,4685.0,PRIMARY_APPROVE,0.726292,0.629291,0.743167,same_category|exact_gender_match|nearest_size_match|same_material|same_tier
L0212,Jacket,Unisex,L,L1320,Jacket,Unisex,L,Balenciaga,2425.0,PRIMARY_APPROVE,0.527527,0.709492,0.632089,same_category|exact_gender_match|exact_size_match|same_condition|near_category_budget
L0212,Jacket,Unisex,L,L1286,Jacket,Unisex,M,Uniqlo,79.0,PRIMARY_APPROVE,0.580181,0.023113,0.578411,same_category|exact_gender_match|nearest_size_match|same_material|same_condition
L0212,Jacket,Unisex,L,L0810,Jacket,Unisex,L,Balenciaga,2779.0,REVIEW_FALLBACK,0.637202,0.813063,0.673657,same_category|exact_gender_match|exact_size_match|same_condition|near_category_budget
L0212,Jacket,Unisex,L,L0264,Jacket,Unisex,M,Burberry,2000.0,REVIEW_FALLBACK,0.776276,0.585148,0.700078,same_category|exact_gender_match|nearest_size_match|same_condition|near_category_budget
L0239,Jacket,Unisex,M,L0260,Jacket,Unisex,M,Louis Vuitton,4000.0,PRIMARY_APPROVE,0.643087,0.829704,0.75089,same_category|exact_gender_match|exact_size_match|same_condition|near_category_budget
L0239,Jacket,Unisex,M,L0299,Jacket,Unisex,M,Gucci,4000.0,PRIMARY_APPROVE,0.659128,0.829704,0.750824,same_category|exact_gender_match|exact_size_match|same_condition|near_category_budget
L0239,Jacket,Unisex,M,L1305,Jacket,Unisex,M,Louis Vuitton,3223.0,PRIMARY_APPROVE,0.652068,0.942966,0.743379,same_category|exact_gender_match|exact_size_match|same_condition|near_category_budget
L0239,Jacket,Unisex,M,L0375,Jacket,Unisex,L,Burberry,3000.0,PRIMARY_APPROVE,0.635195,0.877722,0.732907,same_category|exact_gender_match|nearest_size_match|same_condition|near_category_budget
L0239,Jacket,Unisex,M,L1170,Jacket,Unisex,L,Burberry,3769.0,PRIMARY_APPROVE,0.535748,0.897289,0.707057,same_category|exact_gender_match|nearest_size_match|near_category_budget|high_quality_item
L0007,Dress,Women,L,L1499,Dress,Women,L,Zara,1172.0,PRIMARY_APPROVE,0.995584,0.427077,0.935835,same_category|exact_gender_match|exact_size_match|same_material|same_tier
L0007,Dress,Women,L,L1189,Dress,Women,L,Zara,1053.0,PRIMARY_APPROVE,0.997616,0.383714,0.928171,same_category|exact_gender_match|exact_size_match|same_material|same_tier
L0007,Dress,Women,L,L0107,Dress,Women,L,Zara,1320.0,PRIMARY_APPROVE,0.986056,0.481009,0.924043,same_category|exact_gender_match|exact_size_match|same_material|same_tier
L0007,Dress,Women,L,L0760,Dress,Women,L,Zara,997.0,PRIMARY_APPROVE,0.995314,0.363307,0.92042,same_category|exact_gender_match|exact_size_match|same_material|same_tier
L0007,Dress,Women,L,L0263,Dress,Women,L,Versace,4500.0,PRIMARY_APPROVE,0.79653,0.360198,0.819667,same_category|exact_gender_match|exact_size_match|same_condition|high_quality_item
L0015,Dress,Women,S,L0884,Dress,Women,S,Prada,2664.0,PRIMARY_APPROVE,0.650315,0.970763,0.749638,same_category|exact_gender_match|exact_size_match|same_material|same_tier
L0015,Dress,Women,S,L0862,Dress,Women,S,Versace,2660.0,PRIMARY_APPROVE,0.579025,0.969305,0.714617,same_category|exact_gender_match|exact_size_match|same_material|same_tier
L0015,Dress,Women,S,L0350,Dress,Women,S,Prada,2500.0,PRIMARY_APPROVE,0.433095,0.911001,0.600302,same_category|exact_gender_match|exact_size_match|same_material|same_tier
L0015,Dress,Women,S,L0641,Dress,Women,XS,Prada,2345.0,PRIMARY_APPROVE,0.413155,0.854519,0.574132,same_category|exact_gender_match|nearest_size_match|same_material|same_tier
L0015,Dress,Women,S,L1010,Dress,Women,S,Prada,11710.0,PRIMARY_APPROVE,0.989062,0.0,0.873095,same_category|exact_gender_match|exact_size_match|same_material|same_tier
L0051,Dress,Women,L,L0884,Dress,Women,S,Prada,2664.0,PRIMARY_APPROVE,0.66276,0.970763,0.724983,same_category|exact_gender_match|extended_size_match|same_material|same_tier
L0051,Dress,Women,L,L0862,Dress,Women,S,Versace,2660.0,PRIMARY_APPROVE,0.530832,0.969305,0.65661,same_category|exact_gender_match|extended_size_match|same_material|same_tier
L0051,Dress,Women,L,L0350,Dress,Women,S,Prada,2500.0,PRIMARY_APPROVE,0.46522,0.911001,0.586471,same_category|exact_gender_match|extended_size_match|same_material|same_tier
L0051,Dress,Women,L,L0641,Dress,Women,XS,Prada,2345.0,PRIMARY_APPROVE,0.473122,0.854519,0.575613,same_category|exact_gender_match|extended_size_match|same_material|same_tier
L0051,Dress,Women,L,L1138,Dress,Women,L,Prada,8692.0,PRIMARY_APPROVE,0.986977,0.0,0.837726,same_category|exact_gender_match|exact_size_match|same_material|same_tier
L0064,Dress,Women,M,L0884,Dress,Women,S,Prada,2664.0,PRIMARY_APPROVE,0.542198,0.970763,0.676174,same_category|exact_gender_match|nearest_size_match|same_material|same_tier
L0064,Dress,Women,M,L0862,Dress,Women,S,Versace,2660.0,PRIMARY_APPROVE,0.533621,0.969305,0.675645,same_category|exact_gender_match|nearest_size_match|same_material|same_tier
L0064,Dress,Women,M,L0350,Dress,Women,S,Prada,2500.0,PRIMARY_APPROVE,0.360246,0.911001,0.546235,same_category|exact_gender_match|nearest_size_match|same_material|same_tier
L0064,Dress,Women,M,L0641,Dress,Women,XS,Prada,2345.0,PRIMARY_APPROVE,0.36902,0.854519,0.532357,same_category|exact_gender_match|extended_size_match|same_material|same_tier
L0064,Dress,Women,M,L1382,Dress,Women,M,Versace,10695.0,PRIMARY_APPROVE,0.991628,0.0,0.859618,same_category|exact_gender_match|exact_size_match|same_material|same_tier
L0077,Dress,Women,M,L1277,Dress,Women,M,Masaba,1629.0,REVIEW_FALLBACK,0.722297,0.593608,0.735735,same_category|exact_gender_match|exact_size_match|same_condition|near_category_budget
L0077,Dress,Women,M,L0874,Dress,Women,M,Versace,2054.0,REVIEW_FALLBACK,0.669923,0.748479,0.703083,same_category|exact_gender_match|exact_size_match|same_condition|near_category_budget
L0078,Dress,Women,S,L0884,Dress,Women,S,Prada,2664.0,PRIMARY_APPROVE,0.486174,0.970763,0.659361,same_category|exact_gender_match|exact_size_match|near_category_budget|high_quality_item
L0078,Dress,Women,S,L0794,Dress,Women,S,Nicobar,906.0,PRIMARY_APPROVE,0.999798,0.330147,0.91957,same_category|exact_gender_match|exact_size_match|same_material|same_tier
L0078,Dress,Women,S,L1197,Dress,Women,S,Nicobar,853.0,PRIMARY_APPROVE,0.994988,0.310834,0.919438,same_category|exact_gender_match|exact_size_match|same_material|same_tier
L0078,Dress,Women,S,L0106,Dress,Women,S,Nicobar,1000.0,PRIMARY_APPROVE,0.989857,0.364401,0.910028,same_category|exact_gender_match|exact_size_match|same_material|same_tier
L0078,Dress,Women,S,L1199,Dress,Women,S,Zara,1289.0,PRIMARY_APPROVE,0.948451,0.469712,0.909731,same_category|exact_gender_match|exact_size_match|same_material|same_tier
L0090,Dress,Women,S,L0862,Dress,Women,S,Versace,2660.0,PRIMARY_APPROVE,0.351555,0.969305,0.589508,same_category|exact_gender_match|exact_size_match|near_category_budget|high_quality_item
L0090,Dress,Women,S,L1199,Dress,Women,S,Zara,1289.0,PRIMARY_APPROVE,0.701103,0.469712,0.773689,same_category|exact_gender_match|exact_size_match|same_material|same_tier
L0090,Dress,Women,S,L0367,Dress,Women,S,Zara,1200.0,PRIMARY_APPROVE,0.704526,0.437281,0.772328,same_category|exact_gender_match|exact_size_match|same_material|same_tier
